imdb_rating,imdb_votes,director,year,title
6.2,"327,913",Noam Murro,2014,300: Rise of an Empire
5.4,"102,729",Raja Gosnell,2011,The Smurfs
5.4,"29,105","Will Finn, John Sanford",2004,Home on the Range
5.7,"145,353",Robert Schwentke,2016,Allegiant
7.1,"378,495",Shawn Levy,2011,Real Steel
5.3,"49,596",Raja Gosnell,2013,The Smurfs 2
4.0,"88,751",Jan de Bont,1997,Speed 2: Cruise Control
6.6,"263,151",Gavin Hood,2013,Ender's Game
7.1,"433,767",Len Wiseman,2007,Live Free or Die Hard
8.9,"2,203,785",Peter Jackson,2001,The Lord of the Rings: The Fellowship of the Ring
5.9,"99,120",Frank Coraci,2004,Around the World in 80 Days
6.7,"108,321",Michael Mann,2001,Ali
4.1,"92,689",Bo Welch,2003,The Cat in the Hat
7.1,"611,841",Alex Proyas,2004,"I, Robot"
7.3,"347,384",Ridley Scott,2005,Kingdom of Heaven
6.0,"157,941",Rob Minkoff,1999,Stuart Little
7.2,"184,917","Ron Clements, John Musker",2009,The Princess and the Frog
8.0,"999,128",Ridley Scott,2015,The Martian
6.8,"340,935",Michael Bay,2005,The Island
5.6,"18,317",Alfonso Gomez-Rejon,2014,Town & Country
N/A,N/A,Max Votolato,2020,Gone in Sixty Seconds
8.5,"1,844,518",Ridley Scott,2000,Gladiator
7.6,"617,708",Steven Spielberg,2002,Minority Report
7.5,"759,564",Chris Columbus,2002,Harry Potter and the Chamber of Secrets
8.0,"739,664",Martin Campbell,2006,Casino Royale
5.7,"241,183",Tim Burton,2001,Planet of the Apes
8.6,"1,282,391",James Cameron,1991,Terminator 2: Judgment Day
6.9,"333,880",Michael Mann,2009,Public Enemies
7.8,"483,108",Ridley Scott,2007,American Gangster
7.3,"298,420",James Cameron,1994,True Lies
,,,,The Taking of Pelham 1 2 3
5.5,"123,972",Paul Weitz,2010,Little Fockers
6.7,"307,921",Adam McKay,2010,The Other Guys
6.2,"122,562",Chuck Russell,1996,Eraser
8.5,"1,878,015",Quentin Tarantino,2012,Django Unchained
7.0,"183,121","Gary Trousdale, Kirk Wise",1996,The Hunchback of Notre Dame
7.4,"246,493",Mark Dindal,2000,The Emperor's New Groove
6.6,"334,324",Simon West,2012,The Expendables 2
6.9,"374,474",Jon Turteltaub,2004,National Treasure
5.1,"134,352",Stefen Fangmeier,2006,Eragon
6.7,"111,109",Spike Jonze,2009,Where the Wild Things Are
6.6,"113,984",Chris Wedge,2013,Epic
6.0,"266,981",Florian Henckel von Donnersmarck,2010,The Tourist
5.8,"120,450",Peter Hyams,1999,End of Days
8.0,"624,901",Edward Zwick,2006,Blood Diamond
8.2,"1,784,314",Martin Scorsese,2013,The Wolf of Wall Street
5.5,"279,237",Joel Schumacher,1995,Batman Forever
7.3,"343,889",Paul Verhoeven,1997,Starship Troopers
7.3,"385,516","Tom Tykwer, Lana Wachowski, Lilly Wachowski",2012,Cloud Atlas
6.9,"91,248",Zack Snyder,2010,Legend of the Guardians: The Owls of Ga'Hoole
3.4,"131,602",Pitof,2004,Catwoman
7.3,"277,130","Ron Clements, John Musker",1997,Hercules
7.2,"146,751","Ron Clements, John Musker",2002,Treasure Planet
5.3,"78,326",Brad Silberling,2009,Land of the Lost
6.1,"205,920",Patrick Hughes,2014,The Expendables 3
7.3,"219,742",Kathryn Bigelow,1991,Point Break
2.3,"60,188",Lawrence Guterman,2005,Son of the Mask
6.9,"158,342",Ron Howard,2015,In the Heart of the Sea
3.9,"27,418",Ron Underwood,2002,The Adventures of Pluto Nash
6.8,"146,910",Paul Greengrass,2010,Green Zone
7.0,"52,134",Steve Martino,2015,The Peanuts Movie
7.1,"27,193",David Mamet,1997,The Spanish Prisoner
6.4,"362,637",Stephen Sommers,2001,The Mummy Returns
7.5,"502,256",Martin Scorsese,2002,Gangs of New York
7.5,"57,993",Yimou Zhang,2011,The Flowers of War
6.7,"99,759","Ash Brannon, Chris Buck",2007,Surf's Up
5.4,"72,770",Frank Oz,2004,The Stepford Wives
7.7,"454,170",Ridley Scott,2002,Black Hawk Down
6.1,"138,859",Jay Roach,2012,The Campaign
7.6,"539,521",Luc Besson,1997,The Fifth Element
4.5,"87,275",Michael Patrick King,2010,Sex and the City 2
6.9,"118,185","Bibo Bergeron, Don Paul, Jeffrey Katzenberg",2000,The Road to El Dorado
6.5,"240,893","Steve Martino, Michael Thurmeier",2012,Ice Age: Continental Drift
6.9,"204,139",Kenneth Branagh,2015,Cinderella
6.6,"189,603",Peter Jackson,2009,The Lovely Bones
8.2,"1,196,544","Andrew Stanton, Lee Unkrich",2003,Finding Nemo
9.0,"2,161,991",Peter Jackson,2003,The Lord of the Rings: The Return of the King
8.8,"1,954,618",Peter Jackson,2002,The Lord of the Rings: The Two Towers
5.5,"84,008",Sergei Bodrov,2014,Seventh Son
5.8,"229,645",Simon West,2001,Lara Croft: Tomb Raider
6.2,"244,737",Wally Pfister,2014,Transcendence
6.0,"366,719",Joe Johnston,2001,Jurassic Park III
7.6,"600,908",Rupert Wyatt,2011,Rise of the Planet of the Apes
6.5,"108,428",Mark Waters,2008,The Spiderwick Chronicles
5.2,"222,360",John Moore,2013,A Good Day to Die Hard
6.1,"23,182",John Lee Hancock,2004,The Alamo
8.0,"891,503",Brad Bird,2004,The Incredibles
5.7,"32,861",Renny Harlin,1995,Cutthroat Island
6.8,63,N/A,2017–,Percy Jackson & the Olympians: The Lightning Thief
7.3,"658,335",Barry Sonnenfeld,1997,Men in Black
7.9,"663,076","John Lasseter, Ash Brannon, Lee Unkrich",1999,Toy Story 2
6.8,"218,128",Tony Scott,2010,Unstoppable
6.7,"256,979",Brett Ratner,2001,Rush Hour 2
6.6,"141,301",Robert Zemeckis,2000,What Lies Beneath
6.9,"282,964","Phil Lord, Christopher Miller",2009,Cloudy with a Chance of Meatballs
6.9,"283,955","Carlos Saldanha, Michael Thurmeier",2009,Ice Age: Dawn of the Dinosaurs
7.3,"365,611",Ben Stiller,2013,The Secret Life of Walter Mitty
5.6,"206,779",McG,2000,Charlie's Angels
8.5,"1,551,506",Martin Scorsese,2006,The Departed
7.7,"343,199","Tony Bancroft, Barry Cook",1998,Mulan
7.1,"485,373",Ben Stiller,2008,Tropic Thunder
7.8,"525,793",David Fincher,2011,The Girl with the Dragon Tattoo
7.6,"428,742",John McTiernan,1995,Die Hard: With a Vengeance
7.5,"702,387",Guy Ritchie,2009,Sherlock Holmes
8.1,"269,891",William Wyler,1959,Ben-Hur
6.9,"145,597","Gary Trousdale, Kirk Wise",2001,Atlantis: The Lost Empire
4.9,"25,133",Walt Becker,2015,Alvin and the Chipmunks: The Road Chip
7.1,"272,480",Bryan Singer,2008,Valkyrie
5.6,"227,284",Dennis Dugan,2008,You Don't Mess with the Zohan
5.6,"177,787",Chris Columbus,2015,Pixels
7.2,"337,075",Steven Spielberg,2001,A.I. Artificial Intelligence
5.2,"59,784",Rob Minkoff,2003,The Haunted Mansion
7.5,"309,188",Robert Zemeckis,1997,Contact
5.9,"144,058",Paul Verhoeven,2000,Hollow Man
6.4,"112,725",Sydney Pollack,2005,The Interpreter
5.7,"132,757",Thor Freudenthal,2013,Percy Jackson: Sea of Monsters
5.5,"151,121",Jan de Bont,2003,Lara Croft Tomb Raider: The Cradle of Life
6.4,"357,612",Jon M. Chu,2016,Now You See Me 2
6.2,"76,221",Phillip Noyce,1997,The Saint
7.1,"177,136",Tony Scott,2001,Spy Game
5.7,"78,892",Brian De Palma,2000,Mission to Mars
6.9,"270,787",Carlos Saldanha,2011,Rio
6.9,"131,241",Chris Columbus,1999,Bicentennial Man
5.6,"86,213",Mick Jackson,1997,Volcano
6.2,"76,244",Alan J. Pakula,1997,The Devil's Own
6.7,"71,704",Kathryn Bigelow,2002,K-19: The Widowmaker
6.9,"172,786",John Milius,1982,Conan the Barbarian
8.0,"207,429",Ron Howard,2005,Cinderella Man
4.1,"4,375",Andrei Konchalovsky,2010,The Nutcracker: The Untold Story
7.3,"79,105",Gary Ross,2003,Seabiscuit
6.6,"249,196",Jan de Bont,1996,Twister
7.8,"676,631",Robert Zemeckis,2000,Cast Away
6.4,"212,746","George Miller, Warren Coleman, Judy Morris",2006,Happy Feet
7.7,"510,436",Paul Greengrass,2004,The Bourne Supremacy
6.5,"221,851",Wolfgang Petersen,1997,Air Force One
7.7,"668,514",Steven Soderbergh,2001,Ocean's Eleven
5.7,"114,290",Paul W.S. Anderson,2011,The Three Musketeers
7.0,"309,621",Genndy Tartakovsky,2012,Hotel Transylvania
7.1,"227,480",Kevin Lima,2007,Enchanted
6.7,"248,951",Daniel Espinosa,2012,Safe House
4.9,"41,383",Kevin Lima,2000,102 Dalmatians
6.2,"156,918",Brett Ratner,2011,Tower Heist
7.0,"365,357",Nancy Meyers,2006,The Holiday
7.3,"272,421",Tony Scott,1998,Enemy of the State
6.6,"102,721",Nancy Meyers,2009,It's Complicated
6.9,"385,455",Steven Soderbergh,2007,Ocean's Thirteen
6.1,"112,152","Roger Allers, Jill Culton, Richard Williams",2006,Open Season
6.6,"515,954",Neil Burger,2014,Divergent
7.5,"291,849",Jean-Jacques Annaud,2001,Enemy at the Gates
6.7,"147,360",Peter Berg,2003,The Rundown
6.5,"173,615",John McTiernan,1993,Last Action Hero
7.3,"171,577",Rob Marshall,2005,Memoirs of a Geisha
6.1,"328,412",Justin Lin,2006,The Fast and the Furious: Tokyo Drift
7.1,"70,891","Sarah Smith, Barry Cook",2011,Arthur Christmas
7.2,"293,274",Martin Brest,1998,Meet Joe Black
5.5,"80,474",Andrew Davis,2002,Collateral Damage
7.8,"38,573",Bob Fosse,1979,All That Jazz
5.6,"94,054",Tarsem Singh,2012,Mirror Mirror
7.5,"495,847",Edgar Wright,2010,Scott Pilgrim vs. the World
5.5,"114,588",Jon Amiel,2003,The Core
4.5,"54,847",Peter Segal,2000,Nutty Professor II: The Klumps
5.4,"138,973",Raja Gosnell,2002,Scooby-Doo
7.1,"310,395",Pete Travis,2012,Dredd
6.4,"386,574",Frank Coraci,2006,Click
6.8,"55,785",George A. Romero,1982,Creepshow
2.8,"58,683",Tom Hooper,2019,Cats & Dogs 2 : The Revenge of Kitty Galore
6.1,"335,588",Doug Liman,2008,Jumper
7.0,"297,109",Guillermo del Toro,2008,Hellboy II: The Golden Army
7.7,"671,729",David Fincher,2007,Zodiac
5.9,"132,219",Roger Spottiswoode,2000,The 6th Day
6.8,"466,929",Tom Shadyac,2003,Bruce Almighty
6.4,"380,153",Sylvester Stallone,2010,The Expendables
7.4,"564,485",Brad Bird,2011,Mission: Impossible
7.2,"1,074,757",Gary Ross,2012,The Hunger Games
6.5,"572,504",Todd Phillips,2011,The Hangover Part II
7.1,"348,538",Tim Burton,1992,Batman Returns
6.7,"200,382","Tim Johnson, Karey Kirkpatrick",2006,Over the Hedge
7.4,"243,669","Dean DeBlois, Chris Sanders",2002,Lilo & Stitch
6.3,"48,642",Gary Winick,2006,Charlotte's Web
6.3,"199,379",Mimi Leder,1998,Deep Impact
6.6,"188,034",Dean Parisot,2013,RED 2
6.4,"209,884",Peter Segal,2005,The Longest Yard
4.4,"43,421",Mike Mitchell,2011,Alvin and the Chipmunks: Chipwrecked
5.4,"190,524",Dennis Dugan,2013,Grown Ups 2
6.5,"236,066",Peter Segal,2008,Get Smart
6.8,"138,041",Nancy Meyers,2003,Something's Gotta Give
8.2,"1,644,111",Martin Scorsese,2010,Shutter Island
5.7,"88,143",Seth Gordon,2008,Four Christmases
6.4,"173,700","Chris Wedge, Carlos Saldanha",2005,Robots
7.3,"424,977",John Woo,1997,Face/Off
6.0,"105,883",Adam Shankman,2008,Bedtime Stories
7.6,"296,515",Sam Mendes,2002,Road to Perdition
6.4,"289,427",Dennis Dugan,2011,Just Go with It
6.9,"334,216",Simon West,1997,Con Air
6.6,"200,536",D.J. Caruso,2008,Eagle Eye
